,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
168,Married,11-15 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,0,3,3.0,0.0,1.0
169,In a domestic partnership or civil union,1-5 years,Never,Healthcare Support Occupations,Female,> 60,Did not disclose,Some college or Associate degree,South Atlantic,1,4,0,3,1.0,0.0,1.0
170,Married,11-15 years,Once a year or less,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East South Central,0,3,0,4,3.0,1.0,0.0
171,Married,11-15 years,Every night,Securities compliance,Male,30-44,"$100,000 - $149,999",Graduate degree,New England,0,2,4,5,3.0,5.0,0.0
172,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,1.0,3.0,0.0
173,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,0,3,5,5,1.0,2.0,0.0
174,In a domestic partnership or civil union,6-10 years,A few times per week,Management Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,1,4,4,5,2.0,4.0,0.0
175,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Production Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,0,1,3,4,1.0,2.0,0.0
176,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,3.0,0.0,1.0
177,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,2,2,3,4.0,0.0,1.0
178,Married,1-5 years,Never,Protective Service Occupations,Male,45-60,"$0 - $24,999",High school degree,New England,0,3,1,2,1.0,0.0,1.0
179,Married,More than 20 years,A few times per month,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,3.0,0.0
180,Married,More than 20 years,Once a month or less,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,5.0,2.0,0.0
181,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central,1,4,2,5,5.0,0.0,1.0
182,Married,6-10 years,Once a year or less,Community and Social Service Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,2.0,1.0,0.0
183,Married,6-10 years,Every night,police officer,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,3,3,3,2.0,5.0,0.0
184,Married,1-5 years,Once a year or less,law enforcement,Male,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,0,2,3,4,1.0,1.0,0.0
185,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,5.0,0.0,1.0
186,Divorced,1-5 years,Never,Food Preparation and Serving Related Occupations,Female,> 60,Did not disclose,High school degree,New England,1,4,0,2,1.0,0.0,1.0
187,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,4.0,0.0,1.0
188,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,4,3,4,5.0,0.0,1.0
189,"Single, but cohabiting with a significant other",6-10 years,Every night,Management Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Pacific,1,4,0,3,2.0,5.0,0.0
190,Married,More than 20 years,Every night,Management Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,4,3,4,5.0,5.0,0.0
191,Married,More than 20 years,Every night,unemployed and looking for work,Male,45-60,Did not disclose,Graduate degree,West South Central,0,3,0,5,5.0,5.0,0.0
192,Married,More than 20 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,5.0,2.0,0.0
193,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,5.0,5.0,0.0
194,Married,6-10 years,Every night,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,Mountain,0,2,5,5,2.0,5.0,0.0
195,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain,0,3,2,4,3.0,5.0,0.0
196,In a domestic partnership or civil union,11-15 years,Never,Sales and Related Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3,3.0,0.0,1.0
197,Married,More than 20 years,Once a year or less,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,0,3,5,5,5.0,1.0,0.0
198,Married,More than 20 years,A few times per week,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,4.0,0.0
199,Married,More than 20 years,Once a month or less,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,5.0,2.0,0.0
200,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,4.0,0.0,1.0
201,Married,More than 20 years,Never,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,0,4,4,4,5.0,0.0,1.0
202,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Bachelor degree,East South Central,1,4,0,4,5.0,0.0,1.0
203,In a domestic partnership or civil union,More than 20 years,A few times per week,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,4.0,0.0
204,Married,More than 20 years,Every night,Management Occupations,Male,30-44,"$50,000 - $99,999",High school degree,New England,0,2,3,2,5.0,5.0,0.0
205,Married,11-15 years,Every night,Telecommunications,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,3.0,5.0,0.0
206,Married,16-20 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,4.0,1.0,0.0
207,Married,More than 20 years,Never,Wood product industry- manufacturing,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,0,3,3,4,5.0,0.0,1.0
208,Married,16-20 years,Once a year or less,librarian,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,4.0,1.0,0.0
209,Married,More than 20 years,Once a year or less,Legal Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,5.0,1.0,0.0
210,Married,More than 20 years,Every night,retired,Male,> 60,Did not disclose,Some college or Associate degree,East North Central,0,4,0,3,5.0,5.0,0.0
211,Married,More than 20 years,A few times per month,retired,Male,> 60,Did not disclose,Bachelor degree,South Atlantic,0,4,0,4,5.0,3.0,0.0
212,Widowed,1-5 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4,1.0,0.0,1.0
213,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,5.0,5.0,0.0
214,Married,More than 20 years,Never,Retired Management,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England,1,4,4,4,5.0,0.0,1.0
215,Married,More than 20 years,Every night,retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,1,4,3,2,5.0,5.0,0.0
216,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,5.0,3.0,0.0
217,Married,16-20 years,A few times per week,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,4.0,4.0,0.0
218,Married,More than 20 years,Never,police,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,4,4,3,5.0,0.0,1.0
219,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West South Central,1,4,0,5,5.0,0.0,1.0
220,Married,More than 20 years,Never,Caregiver,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3,5.0,0.0,1.0
221,"Single, but cohabiting with a significant other",Less than 1 year,Never,"Education, Training, and Library Occupations",Male,18-29,"$0 - $24,999",Less than high school degree,East North Central,0,1,1,1,0.0,0.0,1.0
222,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,5.0,5.0,0.0
223,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,New England,0,2,4,5,3.0,1.0,0.0
224,Married,More than 20 years,A few times per month,Business and Financial Operations Occupations,Male,30-44,Did not disclose,High school degree,Mountain,0,2,0,2,5.0,3.0,0.0
225,Married,More than 20 years,Every night,Flight Instructor,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,4,4,3,5.0,5.0,0.0
226,Married,More than 20 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
227,"Single, but cohabiting with a significant other",11-15 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,3.0,5.0,0.0
228,Married,More than 20 years,Once a year or less,Retired. do babysit for my grandchild but not for money.,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,4,3,5,5.0,1.0,0.0
229,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4,3.0,0.0,1.0
230,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
231,Married,11-15 years,Every night,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,4,2,4,3.0,5.0,0.0
232,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3,5.0,0.0,1.0
233,Married,More than 20 years,A few times per week,retired,Female,> 60,"$150,000+",Bachelor degree,East North Central,1,4,5,4,5.0,4.0,0.0
234,Married,More than 20 years,Every night,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,5.0,5.0,0.0
235,Married,16-20 years,Never,Management Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,0,3,4.0,0.0,1.0
236,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Some college or Associate degree,West North Central,0,4,0,3,5.0,0.0,1.0
237,Married,More than 20 years,Once a month or less,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central,0,4,3,4,5.0,2.0,0.0
238,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,0.0,1.0
239,"Single, but cohabiting with a significant other",More than 20 years,Never,government grant,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4,5.0,0.0,1.0
240,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,2.0,0.0,1.0
241,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific,1,1,4,4,1.0,0.0,1.0
242,Married,1-5 years,A few times per month,Stay at home parent,Female,30-44,Did not disclose,Some college or Associate degree,West South Central,1,2,0,3,1.0,3.0,0.0
243,Married,More than 20 years,Every night,Retired,Female,> 60,Did not disclose,Bachelor degree,West North Central,1,4,0,4,5.0,5.0,0.0
244,"Single, but cohabiting with a significant other",Less than 1 year,A few times per week,Food Preparation and Serving Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,1,1,1,3,0.0,4.0,0.0
245,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Computer and Mathematical Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,1,1,2,4,1.0,2.0,0.0
246,Married,6-10 years,Every night,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$25,000 - $49,999",High school degree,East North Central,0,2,2,2,2.0,5.0,0.0
247,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East South Central,1,4,4,3,5.0,5.0,0.0
248,Married,1-5 years,Once a month or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,1.0,2.0,0.0
249,Married,6-10 years,A few times per month,Architecture and Engineering Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,2.0,3.0,0.0
250,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,0,2,4,5,4.0,0.0,1.0
251,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,1.0,0.0,1.0
252,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,1.0,0.0,1.0
253,Married,16-20 years,Never,Locksmith,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,4.0,0.0,1.0
254,Married,11-15 years,A few times per month,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,3.0,3.0,0.0
255,Married,6-10 years,Never,"Life, Physical, and Social Science Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,New England,0,2,3,5,2.0,0.0,1.0
256,Married,11-15 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,3.0,0.0,1.0
257,Married,More than 20 years,A few times per month,Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,4,3,3,5.0,3.0,0.0
258,"Single, but cohabiting with a significant other",1-5 years,Every night,Healthcare Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1.0,5.0,0.0
259,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,0,3,4,4,3.0,1.0,0.0
260,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central,1,4,4,5,5.0,4.0,0.0
261,Married,6-10 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,4,3,5,2.0,5.0,0.0
262,Divorced,11-15 years,Never,retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain,1,4,3,4,3.0,0.0,1.0
263,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Bachelor degree,West South Central,1,2,0,4,3.0,4.0,0.0
264,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,1.0,0.0,1.0
265,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,0,3,3,4,3.0,4.0,0.0
266,Married,11-15 years,A few times per week,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,1,2,2,4,3.0,4.0,0.0
267,Married,6-10 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,2,3,4,2.0,2.0,0.0
