,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
779,"Single, but cohabiting with a significant other",6-10 years,Every night,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,0
780,In a domestic partnership or civil union,6-10 years,Once a month or less,Management Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,East North Central,1,1,4,4,0
781,In a domestic partnership or civil union,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$0 - $24,999",Graduate degree,South Atlantic,1,1,1,5,1
782,Married,11-15 years,A few times per week,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,1,2,3,3,0
783,Divorced,1-5 years,Every night,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",High school degree,West North Central,0,2,3,2,0
784,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5,1
785,Married,6-10 years,Never,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",High school degree,South Atlantic,0,3,3,2,1
786,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1
787,Married,16-20 years,A few times per month,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,3,3,4,0
788,Married,More than 20 years,Once a year or less,retired,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,0
789,Married,16-20 years,Never,Community and Social Service Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central,1,2,4,5,1
790,Married,More than 20 years,Every night,ret.,Male,> 60,"$50,000 - $99,999",Did not disclose,East North Central,0,4,3,0,0
791,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,Mountain,1,1,1,4,1
792,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,1
793,In a domestic partnership or civil union,1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,1
794,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain,0,4,4,5,1
795,Married,16-20 years,Every night,Financial advisor,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,0
796,Married,1-5 years,Never,Business and Financial Operations Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,1,4,3,1
797,Married,More than 20 years,Never,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,1
798,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
799,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific,1,2,3,5,0
800,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West South Central,0,3,4,4,1
801,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3,1
802,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,1
803,In a domestic partnership or civil union,1-5 years,Never,Social science researcher,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,1,1,0,4,1
804,Married,More than 20 years,Every night,Healthcare Support Occupations,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,0
805,Married,11-15 years,Once a year or less,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,0
806,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3,1
807,Married,More than 20 years,A few times per month,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,West North Central,0,3,0,4,0
808,Divorced,1-5 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,South Atlantic,1,4,5,5,1
809,Married,6-10 years,A few times per month,homemake and homeschool teacher,Female,18-29,"$0 - $24,999",Bachelor degree,East South Central,1,1,1,4,0
810,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,"Government, public sector, Dept. of Motor Vehicles clerk",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,0
811,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,1
812,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4,1
813,In a domestic partnership or civil union,6-10 years,Never,Management Occupations,Female,30-44,"$150,000+",Some college or Associate degree,South Atlantic,1,2,5,3,1
814,Married,More than 20 years,Once a year or less,Protective Service Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,1,3,4,3,0
815,Married,1-5 years,A few times per week,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,South Atlantic,0,2,5,5,0
816,Married,11-15 years,Every night,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,4,3,5,0
817,Married,More than 20 years,Once a year or less,retired engineer,Male,> 60,"$150,000+",Graduate degree,New England,0,4,5,5,0
818,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,0,3,4,4,1
819,Married,16-20 years,Every night,Community and Social Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,West South Central,1,3,4,5,0
820,Married,More than 20 years,Once a month or less,Retired,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,4,4,3,0
821,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,1
822,Married,More than 20 years,Every night,retired,Male,> 60,"$25,000 - $49,999",Did not disclose,West North Central,0,4,2,0,0
823,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,1,3,3,4,0
824,Married,16-20 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,"$0 - $24,999",Some college or Associate degree,Pacific,0,3,1,3,0
825,"Single, but cohabiting with a significant other",Less than 1 year,Never,Carpentry,Male,18-29,Did not disclose,Less than high school degree,New England,0,1,0,1,1
826,Married,1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,1
827,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5,1
828,Married,11-15 years,Once a month or less,Mom and housewife,Female,18-29,Did not disclose,Bachelor degree,East South Central,1,1,0,4,0
829,Married,More than 20 years,Once a year or less,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",High school degree,New England,0,3,4,2,0
830,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,1
831,Married,16-20 years,Every night,Sales and Related Occupations,Male,> 60,"$150,000+",Bachelor degree,East North Central,0,4,5,4,0
832,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Female,45-60,Did not disclose,Bachelor degree,East North Central,1,3,0,4,0
833,In a domestic partnership or civil union,11-15 years,Never,"disabled,  unemployed",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,1
834,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,1
835,Married,6-10 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,0
836,Married,6-10 years,Every night,Community and Social Service Occupations,Female,30-44,"$25,000 - $49,999",High school degree,East North Central,1,2,2,2,0
837,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2,1
838,Married,6-10 years,Never,veterinary,Male,18-29,Did not disclose,Some college or Associate degree,Pacific,0,1,0,3,1
839,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,0
840,Married,6-10 years,Never,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
841,Married,6-10 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
842,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,0,3,0
843,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,High school degree,Middle Atlantic,1,3,0,2,1
844,"Single, but cohabiting with a significant other",1-5 years,Never,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,1,2,4,4,1
845,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,1
846,Married,More than 20 years,Once a month or less,Legal Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,New England,1,3,3,5,0
847,Married,6-10 years,Never,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,1,3,4,3,1
848,Married,More than 20 years,Once a year or less,Retired,Male,> 60,Did not disclose,High school degree,East North Central,0,4,0,2,0
849,Married,More than 20 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,1,3,0,5,0
850,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,1
851,"Single, but cohabiting with a significant other",Less than 1 year,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
852,"Single, but cohabiting with a significant other",1-5 years,Never,Airlines,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,0,1,2,4,1
853,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Some college or Associate degree,West South Central,1,4,0,3,1
854,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5,1
855,Married,More than 20 years,Once a year or less,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,1,3,0
856,Married,6-10 years,Never,Architecture and Engineering Occupations,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic,1,4,1,2,1
857,Married,More than 20 years,Once a year or less,Healthcare Support Occupations,Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,1,3,0,5,0
858,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,0,4,3,5,0
859,Married,More than 20 years,Every night,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
860,"Single, but cohabiting with a significant other",1-5 years,Never,unemployed,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,2,2,3,1
861,"Single, but cohabiting with a significant other",1-5 years,Every night,Computer and Mathematical Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,0,2,1,4,0
862,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5,1
863,Married,11-15 years,Once a month or less,Business and Financial Operations Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,0,2,2,3,0
864,Married,More than 20 years,Once a month or less,homemaker,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,0
865,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Graduate degree,West South Central,0,3,2,5,0
866,Married,11-15 years,Never,Retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4,1
867,Married,11-15 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,1,3,0,3,0
868,Married,6-10 years,Once a year or less,Business and Financial Operations Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,0
869,Married,6-10 years,Never,Planning,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,0,1,3,4,1
870,Married,6-10 years,Once a month or less,Legal Occupations,Male,45-60,"$150,000+",Bachelor degree,Did not disclose,0,3,5,4,0
871,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,1
872,Married,16-20 years,Every night,Housekeeper,Female,45-60,"$0 - $24,999",Less than high school degree,South Atlantic,1,3,1,1,0
873,"Single, but cohabiting with a significant other",Less than 1 year,Never,Sales and Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,1,1,1,3,1
874,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Graduate degree,South Atlantic,1,4,0,5,0
875,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
876,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Bachelor degree,West South Central,1,4,0,4,0
877,"Single, but cohabiting with a significant other",Less than 1 year,Never,Food Preparation and Serving Related Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4,1
878,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,Did not disclose,Graduate degree,Mountain,1,3,0,5,1
879,Married,More than 20 years,Once a month or less,Legal Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,0
880,Married,11-15 years,Never,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,1
881,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,1
882,"Single, but cohabiting with a significant other",6-10 years,Never,Management Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,2,4,3,1
883,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Some college or Associate degree,East North Central,1,3,0,3,0
884,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,1
885,Married,More than 20 years,Once a year or less,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,1,3,4,4,0
886,In a domestic partnership or civil union,Less than 1 year,Never,"Education, Training, and Library Occupations",Female,18-29,"$100,000 - $149,999",Graduate degree,Pacific,1,1,4,5,1
887,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1
888,Married,16-20 years,Never,Management Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,1
889,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Community and Social Service Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,1,1,3,4,0
890,Married,16-20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,0
891,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,0,1,3,4,0
892,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,1
893,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,0
894,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,1,2,4,5,1
895,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$0 - $24,999",Some college or Associate degree,Mountain,0,4,1,3,1
896,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,1,2,1,4,1
897,Married,16-20 years,Once a year or less,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,3,4,4,0
898,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,0
899,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,South Atlantic,1,4,0,4,1
900,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Middle Atlantic,1,4,0,3,0
901,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,1
902,Married,More than 20 years,Once a year or less,retired,Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,1,4,5,4,0
903,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,1,3,5,1
904,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,0
905,"Single, but cohabiting with a significant other",11-15 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,1,3,4,3,1
906,Married,More than 20 years,A few times per month,"Life, Physical, and Social Science Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
907,Married,11-15 years,Never,Personal Care and Service Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,2,3,3,1
908,Married,6-10 years,Never,Housekeeping supervisor,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain,1,2,2,3,1
909,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,0,4,3,4,1
910,Married,More than 20 years,Never,Production Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,1
911,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,1,2,4,4,0
912,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,1,2,3,4,1
913,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,1
914,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,1
915,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,3,4,3,1
916,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
917,Divorced,1-5 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,2,3,3,1
918,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,1
919,Married,More than 20 years,Never,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,0,4,4,5,1
920,Married,11-15 years,Every night,stay at home mom,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,0
921,Married,11-15 years,Never,goverment,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,0,3,4,2,1
922,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,1,2,4,5,1
923,"Single, but cohabiting with a significant other",6-10 years,Never,Business and Financial Operations Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1
924,"Single, but cohabiting with a significant other",1-5 years,Never,Business and Financial Operations Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,1
925,Married,More than 20 years,Never,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific,0,3,5,5,1
926,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,Did not disclose,Graduate degree,Pacific,1,3,0,5,1
927,Married,16-20 years,Never,Homemaker,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,1
928,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,3,3,3,0
929,Married,More than 20 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,0
930,Married,6-10 years,Once a year or less,Architecture and Engineering Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,1,2,5,5,0
931,"Single, but cohabiting with a significant other",11-15 years,A few times per month,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,0
932,In a domestic partnership or civil union,16-20 years,Never,"Education, Training, and Library Occupations",Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,1
933,In a domestic partnership or civil union,6-10 years,Never,Business and Financial Operations Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,1
934,Married,1-5 years,Never,Management Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,1
935,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4,0
936,Married,16-20 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,New England,1,2,4,4,1
937,Married,11-15 years,Never,Environmental Consulting,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,1,2,3,4,1
938,Married,More than 20 years,Never,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
939,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,0
940,Married,1-5 years,Never,Office and Administrative Support Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,1
941,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$50,000 - $99,999",High school degree,West North Central,0,2,3,2,1
942,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,1
943,Married,16-20 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
944,Married,More than 20 years,Never,unemployed,Female,45-60,"$150,000+",Graduate degree,East North Central,1,3,5,5,1
945,Married,11-15 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",High school degree,Pacific,1,3,5,2,0
946,"Single, but cohabiting with a significant other",1-5 years,A few times per week,Physical Service / Trade - Dog Grooming,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,New England,1,1,3,3,0
947,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",High school degree,East South Central,1,4,3,2,1
948,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,1,4,3,1
949,Married,16-20 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
950,Married,More than 20 years,A few times per week,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Mountain,1,4,2,5,0
951,Married,16-20 years,Once a year or less,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,West North Central,1,3,1,3,0
952,"Single, but cohabiting with a significant other",6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,1,2,3,3,1
953,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
954,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Pacific,1,3,0,3,1
955,Married,More than 20 years,Never,"global health, management consulting",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,1
956,Married,More than 20 years,Every night,Retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,1,4,3,2,0
957,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,1,3,5,4,1
958,Married,16-20 years,Every night,Community and Social Service Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,West South Central,1,3,2,4,0
959,Married,6-10 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
960,Married,More than 20 years,Every night,Computer and Mathematical Occupations,Male,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,0,4,2,5,0
961,In a domestic partnership or civil union,6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,3,2,3,1
962,In a domestic partnership or civil union,1-5 years,Once a year or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,0
963,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,1
964,Married,6-10 years,Never,Sales and Related Occupations,Female,> 60,"$150,000+",High school degree,West South Central,1,4,5,2,1
965,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,0
966,Married,16-20 years,Every night,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,0
967,Married,More than 20 years,Never,real estate appraisal,Female,45-60,"$150,000+",Bachelor degree,East North Central,1,3,5,4,1
968,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,1
969,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,New England,1,4,5,5,1
970,Married,More than 20 years,Never,Community and Social Service Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,1
971,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
972,Married,6-10 years,Never,Legal Occupations,Female,45-60,"$150,000+",High school degree,Middle Atlantic,1,3,5,2,1
